NO,NMPROP,DPT,PENDUDUK
1,ACEH,3742037,5333733
2,SUMATERA UTARA,10853940,14936148
3,SUMATERA BARAT,4088606,5580232
4,RIAU,4732174,6493603
5,JAMBI,2676107,3585100
6,SUMATERA SELATAN,6326348,8550849
7,BENGKULU,1494828,2032940
8,LAMPUNG,6539128,9081792
9,BANGKA BELITUNG,1067434,1473100
10,KEPULAUAN RIAU,1500974,2118239
11,DKI JAKARTA,8252897,10609681
12,JAWA BARAT,35714901,48782400
13,JAWA TENGAH,28289413,36742501
14,D.I YOGYAKARTA,2870974,3712896
15,JAWA TIMUR,31402838,40878789
16,BANTEN,8842646,12061475
17,BALI,3269516,4362700
18,NUSA TENGGARA BARAT,3918291,5390000
19,NUSA TENGGARA TIMUR,4008475,5387738
20,KALIMANTAN BARAT,3958561,5470797
21,KALIMANTAN TENGAH,1935116,2702200
22,KALIMANTAN SELATAN,3025220,4122580
23,KALIMANTAN TIMUR,2778644,3808235
24,KALIMANTAN UTARA,504252,713600
25,SULAWESI UTARA,1969603,2638631
26,SULAWESI TENGAH,2236703,3021880
27,SULAWESI SELATAN,6670582,9139500
28,SULAWESI TENGGARA,1867931,2659156
29,GORONTALO,881206,1180948
30,SULAWESI BARAT,985760,1436842
31,MALUKU,1341012,1862626
32,MALUKU UTARA,953978,1299177
33,PAPUA BARAT,385465,583176
34,PAPUA,727835,1020190
35,PAPUA TENGAH,1128844,1408991
36,PAPUA BARAT DAYA,440826,573664
37,PAPUA PEGUNUNGAN,1306414,1408641
38,PAPUA SELATAN,367269,517623
